eviction_aggressiveness,rate_per_sec,context_tokens,requested_output_tokens,completed_output_tokens,latency_sec,ttft_sec,success,met_slo,error
window_1024,1.0,303,182,182,2.5373283150001953,0.19736961899980088,True,True,
window_1024,1.0,412,343,343,6.155280635000963,0.047479182001552545,True,False,
window_1024,1.0,981,318,318,7.4916854219991365,0.19016349099911167,True,False,
window_1024,1.0,1921,393,393,10.974064112000633,0.3316682420008874,True,False,
window_1024,1.0,179,428,428,12.169762912999431,0.03142996199676418,True,False,
window_1024,1.0,698,95,95,2.7154309439974895,0.04769075799777056,True,True,
window_1024,1.0,801,464,464,14.497160139999323,0.04131557799701113,True,False,
window_1024,1.0,3714,495,495,16.21234091899896,0.6995995069992205,True,False,
window_1024,1.0,508,443,443,14.0800871010033,0.04494640000120853,True,False,
window_1024,1.0,154,456,456,14.78576407500077,0.045403592001093784,True,False,
window_1024,1.0,237,295,295,8.511114783999801,0.05224516599992057,True,False,
window_1024,1.0,1284,369,369,11.786794296000153,0.05562196599930758,True,False,
window_1024,1.0,1053,219,219,5.703293114998814,0.041690459998790175,True,False,
window_1024,1.0,385,170,170,5.13842546199885,0.04158643399932771,True,False,
window_1024,1.0,243,318,318,12.128407561998756,0.032786674000817584,True,False,
window_1024,1.0,2056,315,315,12.018320669998502,0.05218596800114028,True,False,
window_1024,1.0,1786,197,197,7.778080022999347,0.04925743700005114,True,False,
window_1024,1.0,2744,290,290,11.22221128199817,0.07905805300106294,True,False,
window_1024,1.0,1469,192,192,7.6415942320018075,0.05963186600274639,True,False,
window_1024,1.0,198,45,45,1.6915177800001402,0.08359370400285115,True,True,
window_1024,1.0,2762,395,395,13.09638577700025,0.06970423500024481,True,False,
window_1024,1.0,233,61,61,2.547400445000676,0.08391587900041486,True,True,
window_1024,1.0,359,86,86,3.547658514999057,0.08372862599935615,True,True,
window_1024,1.0,406,349,349,10.611155602000508,0.06832825600213255,True,False,
window_1024,1.0,323,234,234,7.41898311100158,0.05981329399946844,True,False,
window_1024,1.0,1492,320,320,9.437286017000588,0.0637255900001037,True,False,
window_1024,1.0,1442,315,315,8.962354439001501,0.07097631200304022,True,False,
window_1024,1.0,1427,227,227,6.252392303998931,0.055747122001776006,True,False,
