eviction_aggressiveness,rate_per_sec,context_tokens,requested_output_tokens,completed_output_tokens,latency_sec,ttft_sec,success,met_slo,error
window_256,1.0,413,475,475,12.283363054000802,0.18801614600306493,True,False,
window_256,1.0,1469,233,233,6.771955937001621,0.38859367400073097,True,False,
window_256,1.0,3710,260,260,8.841060489001393,0.8655913319998945,True,False,
window_256,1.0,1811,425,425,13.949727388997417,0.04795927599843708,True,False,
window_256,1.0,361,258,258,8.29096998300156,0.0446449670016591,True,False,
window_256,1.0,1036,395,395,13.157613465002214,0.048770080000394955,True,False,
window_256,1.0,166,501,501,16.81806291799876,0.05212723400109098,True,False,
window_256,1.0,403,244,244,8.05688136200115,0.052703420999023365,True,False,
window_256,1.0,1184,453,453,15.47053063599742,0.04317784099839628,True,False,
window_256,1.0,624,333,333,11.389346944000863,0.06299410700012231,True,False,
window_256,1.0,1741,204,204,7.00536366599772,0.07071258799987845,True,False,
window_256,1.0,613,327,327,11.274295593997522,0.057601025997428223,True,False,
window_256,1.0,886,388,388,13.50079442599963,0.06748425700061489,True,False,
window_256,1.0,799,132,132,4.657776138999907,0.04904914500002633,True,True,
window_256,1.0,3078,294,294,10.18363708799734,0.07017163999989862,True,False,
window_256,1.0,687,157,157,5.474399425998854,0.04600803799985442,True,False,
window_256,1.0,296,57,57,2.0469076900008076,0.057929784001316875,True,True,
window_256,1.0,231,128,128,4.454866631000186,0.046293243001855444,True,True,
window_256,1.0,150,294,294,10.188354401998367,0.06565184499777388,True,False,
window_256,1.0,215,72,72,2.506136346000858,0.06525482600045507,True,True,
window_256,1.0,1348,174,174,5.968071291998058,0.07699500399758108,True,False,
window_256,1.0,799,277,277,9.542792186999577,0.04471239199847332,True,False,
window_256,1.0,223,126,126,4.287446962000104,0.056003579000389436,True,True,
window_256,1.0,270,392,392,13.339645930998813,0.04784654000104638,True,False,
window_256,1.0,211,260,260,8.983696759998566,0.0415038729988737,True,False,
window_256,1.0,3642,256,256,8.874244533999445,0.0608030069997767,True,False,
window_256,1.0,1740,401,401,12.104335487001663,0.05729281900130445,True,False,
window_256,1.0,2091,224,224,7.714531231002184,0.06767402900004527,True,False,
window_256,1.0,811,428,428,12.335482174999925,0.058347587000753265,True,False,
window_256,1.0,316,190,190,6.597307682000974,0.055618080998101505,True,False,
window_256,1.0,470,251,251,7.61695982299716,0.049124825000035344,True,False,
window_256,1.0,812,428,428,10.350119212998834,0.05248158799804514,True,False,
window_256,1.0,237,418,418,10.119174604998989,0.052982044999225764,True,False,
window_256,1.0,356,140,140,4.42196914699889,0.055809520999901,True,True,
window_256,1.0,450,160,160,4.766585088000284,0.04516624300231342,True,True,
